tinggi_tanaman,suhu_air,suhu_ruang,ph_air,intensitas_cahaya,kelembapan,kategori_pertumbuhan
25.577758517744797,18.78036387184347,21.735020505930972,7.094722198984792,13323.14605232374,32.69357116714045,Buruk
5.652949539246683,14.662101519997474,32.443023686386056,7.45250382088778,18482.876505484986,72.4635157613467,Buruk
10.26926599828235,26.41528870780648,28.23958854228922,7.2990190651363065,3109.282067918893,40.831182159479454,Buruk
20.460544233740258,16.21760196272274,32.28682095876576,7.319123211870499,19652.68972853591,57.941097085625984,Buruk
7.457111633422479,26.2485304556478,31.508163512833875,5.365950003928224,9891.901731467235,40.20869905046568,Buruk
20.50328274692147,20.930844326579493,31.008817035012058,5.314371770196259,2401.5369955641386,48.07996892269782,Buruk
6.3472554899610945,21.99418280732718,30.976943880513492,6.9865415194671305,12008.97096342115,87.80903736788511,Buruk
29.01635144510596,23.918345240414,24.663443670016623,7.313404671082507,8608.485991504804,38.44133175618851,Buruk
29.510734355376837,30.950482864736838,34.82552969958516,6.615429310439056,19415.320872860902,42.40870688046077,Baik
18.028191256780595,14.84386121129561,20.766911126386056,6.763890415108659,13266.09776409766,50.49272045273047,Baik
20.913833620888695,23.976897265411367,30.55297146202147,6.4308893225705,5850.615657242879,73.13269853452883,Buruk
24.11892370673125,18.238436022067834,28.401901137783703,6.835241786560999,18508.44907136651,31.87256452497939,Baik
24.12388236542048,31.635247138088662,25.276191969758283,7.22111651701506,15844.732455444895,87.5213227997742,Buruk
15.44213948899307,23.850392856253137,24.786867682110955,5.905743789517557,9733.084963733221,75.74633427871605,Buruk
24.220132658093565,30.23398105009024,31.483272982773176,6.970314128166497,11150.644565494968,30.27131056689928,Buruk
15.580043760300791,30.02115969259177,29.308287503105475,5.439287919954634,19042.588559697244,34.15668073613535,Buruk
28.152589288170788,14.696712615512341,20.742192954648356,6.281385586430881,18888.17446318969,85.44607801062423,Baik
22.04816212180996,26.58585286071889,30.4568043100863,6.077943800450092,14013.421837271457,72.89179877921278,Baik
14.21138978311721,14.1997871439047,22.50179807630098,6.971366045597381,12415.004910171985,63.65713463219719,Buruk
26.4727463838205,15.603802552909396,30.34797716145184,5.45600723203902,9645.445455029014,66.4467995631187,Buruk
14.512391999584747,22.07936963266647,22.620284826013418,5.229083823667189,12183.333075784303,31.45824776443239,Buruk
7.373856597090193,26.567963752745726,22.2938156343143,6.597030163001552,13602.56451971067,37.04790389547764,Buruk
13.12226784092058,25.81682135099577,33.30842663162346,5.9803087044007555,5587.085743882508,34.29553752374814,Sedang
15.377804653562281,28.006796547170275,33.91775296834701,5.195338071830482,3653.104061073514,74.09519916839301,Buruk
23.556848721259506,28.452828304551204,22.19145554809679,7.20491299020329,19912.075510248193,79.91988958583937,Buruk
21.44772168966564,18.660307809443566,24.509265956177998,6.784484459510036,3318.2045740746617,72.2656814970712,Buruk
10.032920783569919,18.865310623030567,28.78526550893492,5.765542216992382,15975.121341715423,87.90961627748663,Sedang
25.21219783108365,17.88349426444377,32.35018490694059,5.019079199297653,4609.652394974761,54.49361241400243,Buruk
24.660060960244195,22.154976606280478,31.356074846441196,6.265787390488344,9517.049795169296,61.26468007701774,Buruk
14.873490947602823,17.13745184476514,23.158047916938777,6.742236273480975,9191.056271437417,35.9971341613445,Buruk
17.76540587472646,26.388888572385774,34.86629349411628,7.427408837020575,11402.138488057626,82.15797426581034,Buruk
24.903988537550614,31.416418995709765,23.84197279489591,7.23154203646436,11900.511601919095,42.310990820537384,Buruk
